Archives Name	Function	Ext List	Program Name	Unpack com 1	Unpack com 2	Pack com	Archive move	Archive ext	ff	Столбец1
ARC	_OtherPRG	ARC Archives (*.arc)|	arc.exe	 e	 	 a	true	.arc	True	1
BLZ	_OtherPRG	BLZ Archives (*.blz)|	blzpack.exe	 d	 	 c	true	.blz	True	1
BMA	_OtherPRG	BMA Archives (*.bma; *.bmz)|	bma.exe	 e	 	 a	true	.bma	True	1
DGCA	_OtherPRG	DGCA Archives (*.dgc; *.dgca)|	dgcac.exe	 e	 "FolderName"	 a	false	.dgc	False	1
NanoZIP	_OtherPRG	NanoZIP Archives (*.nz)|	nz.exe	 x	 	 a "FolderName"	true	.nz	False	1
YZ2	_OtherPRG	YZ2 Archives (*.yz; *.yz2; *.pack)|	yz2tool.exe	 -x	 	 -c	true	.yz2	False	1
DZIP	_OtherPRG	DZIP Archives (*.dz; *.dzip)|	dzip.exe	 -x	 	 -o	true	.dzip	False	2
ExFAT File System Image	_7Zip	ExFAT Disc Images (*.fat;*.img)|								3
AccessData FTK Imager Logical Image	_7Zip	AD1 Disc Images (*.ad1)|								3
Advanced Forensics Format	_7Zip	AFF Disc Images (*.aff)|								3
ASR Expert Witness Compression Format	_7Zip	S01 Disc Images (*.so1)|								3
BIN Disc Image (CUE/BIN)	_7Zip	BIN CUE Disc Images (*.bin;*.cue)|								3
CDI\CDR Disc Image	_7Zip	CDR CDI Disc Images (*.cdi;*.cdr)|								3
CCD\IMG  Disc Iamage	_7Zip	CCD IMG Disc Images (*.ccd;*.img)|								3
CramFS Image	_7Zip	CramFS Disc Images (*.CramFS)|								3
Encase Image File Format	_7Zip	L01 Disc Images (*.l01,*lx01)|								3
FAT File System Image	_7Zip	FAT Disc Images (*.fat)|								3
FHS File System Image	_7Zip	FHS Disc Images (*.fhs)|								3
IMG Disc Image	_7Zip	IMG Disc Images (*.img)|								3
ISO Disc Image	_7Zip	ISO Disc Images (*.iso)|								3
ISZ Disc Image	_7Zip	ISZ Disc Images (*.isz)|								3
MDF Disc Image (MDF/MDS)	_7Zip	MDF MDS Disc Images (*.mdf;*.mds)|								3
NRG Disc Image	_7Zip	NRG Disc Images (*.nrg)|								3
NTFS File System Image	_7Zip	NTFS Disc Images (*.ntfs)|								3
SquashFS Image	_7Zip	SquashFS Disc Images (*.SquashFS)|								3
VHD Disc Image	_7Zip	VHD Disc Images (*.VHD)|								3
WIM Disc Image	_7Zip	WIM Disc Images (*.wim;*.swm)|								3
