game_name	release_year	func_name
Katana ZERO	2019	_Gamemaker
Hotline Miami	2012	_Gamemaker
VA-11 Hall-A: Cyberpunk Bartender Action	2016	_Gamemaker
Iron Snout	2016	_Gamemaker
Undertale	2015	_Gamemaker
Post Void	2020	_Gamemaker
Webbed	2021	_Gamemaker
Nova Drift	2019	_Gamemaker
Fran Bow	2015	_Gamemaker
Nuclear Throne	2015	_Gamemaker
Monolith	2017	_Gamemaker
Rivals of Aether	2017	_Gamemaker
SUPER CHICKEN JUMPER	2021	_Gamemaker
Chicory: A Colorful Tale	2021	_Gamemaker
Cats Organized Neatly	2020	_Gamemaker
Leaf Blower Revolution - Idle Game	2020	_Gamemaker
Chronicon	2020	_Gamemaker
Voidigo	2021	_Gamemaker
Loop Hero	2021	_Gamemaker
DEADBOLT	2016	_Gamemaker
SYNTHETIK	2018	_Gamemaker
RED HOT VENGEANCE	2019	_Gamemaker
Heartbound	2018	_Gamemaker
I Wanna Maker	2020	_Gamemaker
Wandersong	2018	_Gamemaker
Risk of Rain	2013	_Gamemaker
The Crown of Leaves	2018	_Gamemaker
Touhou Endless Dream	2021	_Gamemaker
Cook, Serve, Delicious!	2013	_Gamemaker
RetroMaze	2018	_Gamemaker
Hyper Light Drifter	2016	_Gamemaker
The Red Strings Club	2018	_Gamemaker
Momodora: Reverie Under the Moonlight	2016	_Gamemaker
Wuppo - Definitive Edition	2016	_Gamemaker
Cattails	2017	_Gamemaker
The Void Rains Upon Her Heart	2018	_Gamemaker
Relic Hunters Zero: Remix	2015	_Gamemaker
Gato Roboto	2019	_Gamemaker
Dead Estate	2021	_Gamemaker
Cat Goes Fishing	2015	_Gamemaker
OH MY GOD, LOOK AT THIS KNIGHT	2018	_Gamemaker
Maiden & Spell	2020	_Gamemaker
Tribal Hunter	2021	_Gamemaker
ZeroRanger	2018	_Gamemaker
Vault of the Void	2020	_Gamemaker
Peace, Death! 2	2021	_Gamemaker
Khimera: Destroy All Monster Girls	2016	_Gamemaker
Super Ledgehop: Double Laser	2018	_Gamemaker
Shotgun Witch	2020	_Gamemaker
DYO	2018	_Gamemaker
Peace, Death!	2017	_Gamemaker
Forager	2019	_Gamemaker
Bubble People	2021	_Gamemaker
ElecHead	2021	_Gamemaker
WORLD OF HORROR	2020	_Gamemaker
Cook, Serve, Delicious! 3?!	2020	_Gamemaker
Samurai Gunn 2	2021	_Gamemaker
Card Hog	2020	_Gamemaker
D'LIRIUM	2017	_Gamemaker
Jigoku Kisetsukan: Sense of the Seasons	2015	_Gamemaker
Siralim 3	2018	_Gamemaker
Bot Vice	2016	_Gamemaker
Savant - Ascent	2013	_Gamemaker
Toodee and Topdee	2021	_Gamemaker
Levelhead	2020	_Gamemaker
Russian Subway Dogs	2018	_Gamemaker
Siralim Ultimate	2021	_Gamemaker
Lovers of Aether	2019	_Gamemaker
Annalynn	2021	_Gamemaker
Slice of Sea	2021	_Gamemaker
Spirits Abyss	2020	_Gamemaker
Mini-Dead	2018	_Gamemaker
Knock Harder	2020	_Gamemaker
Press Any Button	2021	_Gamemaker
Momodora III	2014	_Gamemaker
Sword Rogue	2020	_Gamemaker
Mixolumia	2020	_Gamemaker
Jet Lancer	2020	_Gamemaker
Disc Room	2020	_Gamemaker
Dogs Organized Neatly	2021	_Gamemaker
Mondealy: Day One	2021	_Gamemaker
Space Between Worlds	2018	_Gamemaker
Ato	2020	_Gamemaker
Bacon May Die	2021	_Gamemaker
The Room Syndrome	2019	_Gamemaker
BROK the InvestiGator - Prologue	2020	_Gamemaker
Sheepo	2020	_Gamemaker
Dread X Collection 2	2020	_Gamemaker
The Spike	2020	_Gamemaker
Space Gladiators	2021	_Gamemaker
30XX	2021	_Gamemaker
Knock Harder: Useless	2020	_Gamemaker
Minit Fun Racer	2021	_Gamemaker
My Name is Mayo 2	2020	_Gamemaker
Virgo Versus the Zodiac	2019	_Gamemaker
Champions of Breakfast	2016	_Gamemaker
Super Jigsaw Puzzle: Generations	2019	_Gamemaker
Flywrench	2015	_Gamemaker
Wally and the FANTASTIC PREDATORS	2019	_Gamemaker
LOVE 2: kuso	2017	_Gamemaker
IMSCARED	2016	_Gamemaker
Bad Dream: Coma	2017	_Gamemaker
Just, Bearly	2018	_Gamemaker
Super Raft Boat	2021	_Gamemaker
SYNTHETIK: Arena	2019	_Gamemaker
Intergalactic Fishing	2020	_Gamemaker
Flappatron	2019	_Gamemaker
Astronarch	2021	_Gamemaker
Mr. Massagy	2016	_Gamemaker
Antonball Deluxe	2021	_Gamemaker
Evan's Remains	2020	_Gamemaker
Colorful Colore	2020	_Gamemaker
Nidhogg	2014	_Gamemaker
UBERMOSH Vol.5	2017	_Gamemaker
Samurai Gunn	2013	_Gamemaker
RagingBlasters	2021	_Gamemaker
Legend Bowl	2021	_Gamemaker
Minit	2018	_Gamemaker
Super Crate Box	2012	_Gamemaker
Zombie Kill of the Week - Reborn	2015	_Gamemaker
Skelly Selest	2018	_Gamemaker
Toaster Jam	2018	_Gamemaker
The Caribbean Sail	2017	_Gamemaker
LOVE	2014	_Gamemaker
Khimera: Puzzle Island	2020	_Gamemaker
Simmiland	2018	_Gamemaker
Green Elephant 2D	2017	_Gamemaker
Feel The Snow	2019	_Gamemaker
Carrie's Order Up	2016	_Gamemaker
Cook, Serve, Delicious! 2!!	2017	_Gamemaker
Skeleton Boomerang	2017	_Gamemaker
You Have 10 Seconds	2016	_Gamemaker
Sector Six	2018	_Gamemaker
Siralim 2	2016	_Gamemaker
Shotgun Legend	2018	_Gamemaker
UBERMOSH	2015	_Gamemaker
Strikey Sisters	2017	_Gamemaker
SUPER BENBO QUEST: TURBO DELUXE	2018	_Gamemaker
Circa Infinity	2015	_Gamemaker
Futa Fix Dick Dine and Dash	2020	_Gamemaker
Morphblade	2017	_Gamemaker
Blazing Chrome	2019	_Gamemaker
Overclocked	2018	_Gamemaker
Dogworld	2021	_Gamemaker
Grim Nights	2018	_Gamemaker
Q-YO Blaster	2018	_Gamemaker
Hargrave	2020	_Gamemaker
Game Soup	2019	_Gamemaker
Foto Flash	2018	_Gamemaker
You Have 10 Seconds 2	2016	_Gamemaker
The Cat Games	2017	_Gamemaker
Brickochet	2017	_Gamemaker
Please, Don’t Touch Anything	2015	_Gamemaker
Boring Man - Online Tactical Stickman Combat	2015	_Gamemaker
Dread X Collection 3	2020	_Gamemaker
Suits: Absolute Power	2020	_Gamemaker
Sokpop S08: helionaut	2020	_Gamemaker
Catacomb Kids	2015	_Gamemaker
Rubber Ducky and the Rainbow Gun	2015	_Gamemaker
UBERMOSH:SANTICIDE	2018	_Gamemaker
Cavity Busters	2020	_Gamemaker
Shisensho Solitaire	2019	_Gamemaker
Tiny Bird Garden Deluxe	2018	_Gamemaker
Booth: A Dystopian Adventure	2020	_Gamemaker
Arietta of Spirits	2021	_Gamemaker
Life Tastes Like Cardboard	2019	_Gamemaker
Sokpop S07: Chatventures	2020	_Gamemaker
Stoneshard: Prologue	2018	_Gamemaker
Crashlands	2016	_Gamemaker
Golden Hornet	2017	_Gamemaker
Kharon's Crypt - Even Death May Die	2020	_Gamemaker
Bunny's Flowers	2021	_Gamemaker
Gachi Revenge	2020	_Gamemaker
Lost Potato	2020	_Gamemaker
Burger Joint	2020	_Gamemaker
AshenForest	2020	_Gamemaker
The Walking Vegetables	2017	_Gamemaker
10mg: You are such a Soft and Round Kitten.	2020	_Gamemaker
Poggers	2019	_Gamemaker
Garden Story	2021	_Gamemaker
The friends of Ringo Ishikawa	2018	_Gamemaker
Shopping Empire Tycoon	2021	_Gamemaker
NotTheNameWeWanted	2015	_Gamemaker
Reverse Crawl	2015	_Gamemaker
Stealth Bastard Deluxe	2012	_Gamemaker
TANKS	2018	_Gamemaker
Lofi Ping Pong	2019	_Gamemaker
Acid Nimbus	2018	_Gamemaker
Pitcher and the Whale	2020	_Gamemaker
Phucker in the Gulag	2019	_Gamemaker
Dap: Prologue	2021	_Gamemaker
Power of Ten - Demo	2020	_Gamemaker
SWARMRIDERS	2016	_Gamemaker
Juiced!	2020	_Gamemaker
TWWWR	2020	_Gamemaker
Sigma Impact	2021	_Gamemaker
50 years	2017	_Gamemaker
Awesomenauts	2012	_Gamemaker
TV Kid	2021	_Gamemaker
Zed Survival	2018	_Gamemaker
UBERMOSH:OMEGA	2019	_Gamemaker
Thy Sword	2017	_Gamemaker
Halloween Forever	2016	_Gamemaker
Police Stories	2019	_Gamemaker
Ultimate Racing 2D	2018	_Gamemaker
Castle Break	2019	_Gamemaker
Magnibox	2019	_Gamemaker
-SPROUT-	2020	_Gamemaker
The Wizard and The Slug	2020	_Gamemaker
Dininho Adventures: Definitive Edition	2021	_Gamemaker
SUPER FLAIL	2018	_Gamemaker
SnOut	2021	_Gamemaker
Dap	2021	_Gamemaker
ITTA	2020	_Gamemaker
Rolling Bird	2018	_Gamemaker
Ain Dodo	2019	_Gamemaker
Revita	2021	_Gamemaker
Make Me LAG	2020	_Gamemaker
The Tram of Wishes	2021	_Gamemaker
Sokpop S09: fishy 3D	2020	_Gamemaker
Serious Scramblers	2019	_Gamemaker
Gunkid 99	2019	_Gamemaker
DANMAKAI: Red Forbidden Fruit	2020	_Gamemaker
Let Them Come	2017	_Gamemaker
Sokpop S09: pyramida	2020	_Gamemaker
Karate Cat	2019	_Gamemaker
The Cyclist: Tactics	2021	_Gamemaker
Stand 'em Up	2021	_Gamemaker
Gun Witch	2020	_Gamemaker
Straimium Immortaly	2016	_Gamemaker
Blazing Beaks	2019	_Gamemaker
Witchinour	2017	_Gamemaker
Socialism Simulator	2021	_Gamemaker
Legend of Himari	2018	_Gamemaker
OUTTA GAS	2020	_Gamemaker
Break The Targets	2018	_Gamemaker
Cinders	2014	_Gamemaker
Clockwork Calamity in Mushroom World: What would you do if the time stopped ticking?	2021	_Gamemaker
Colors! Maze	2021	_Gamemaker
Bankrupt Heroines	2020	_Gamemaker
vApe Escape	2019	_Gamemaker
Dead	2018	_Gamemaker
Knight Club +	2020	_Gamemaker
Tormentor❌Punisher	2017	_Gamemaker
Fuhrer in LA - Special Edition	2020	_Gamemaker
SOK PRO	2020	_Gamemaker
BLACKHOLE	2015	_Gamemaker
12 is Better Than 6	2015	_Gamemaker
GhostGame	2019	_Gamemaker
The Eternal Castle [REMASTERED]	2019	_Gamemaker
Gunlock	2017	_Gamemaker
The Quarter Game	2017	_Gamemaker
SpritePile	2019	_Gamemaker
Phucker in the Woods	2019	_Gamemaker
Golf Club Wasteland	2021	_Gamemaker
Shine Within	2021	_Gamemaker
Colt Canyon	2020	_Gamemaker
Ticket	2017	_Gamemaker
Hiiro	2016	_Gamemaker
Viviette	2018	_Gamemaker
IIslands of War	2020	_Gamemaker
1 Screen Platformer	2019	_Gamemaker
Handsome Mr. Frog	2016	_Gamemaker
Invasher	2019	_Gamemaker
Infini	2020	_Gamemaker
Head AS Code	2021	_Gamemaker
Mystik Belle	2015	_Gamemaker
TTV2	2017	_Gamemaker
Astral Gunners	2020	_Gamemaker
Project:Pong	2020	_Gamemaker
BOX: Space Station	2021	_Gamemaker
UBERMOSH Vol.3	2016	_Gamemaker
Haque	2017	_Gamemaker
Within the blade	2019	_Gamemaker
Super XYX	2020	_Gamemaker
Coin Crypt	2014	_Gamemaker
Dingletopia: Nation Under Siege (by Orcs)	2020	_Gamemaker
Amaranthine	2016	_Gamemaker
E.Z	2018	_Gamemaker
Rock 'N' Roll Defense	2016	_Gamemaker
Sokpop S10: Pocket Watch	2021	_Gamemaker
Oh Jeez, Oh No, My Rabbits Are Gone!	2019	_Gamemaker
Space Mayhem	2019	_Gamemaker
Crowtel Renovations	2017	_Gamemaker
Touhou Ibunseki - Ayaria Dawn: ReCreation	2019	_Gamemaker
Valdis Story: Abyssal City	2013	_Gamemaker
Energy Shock	2019	_Gamemaker
Jump Off The Bridge	2019	_Gamemaker
Type Knight	2019	_Gamemaker
NOMAD	2020	_Gamemaker
Space Gladiators: The Hole	2020	_Gamemaker
Watermelon Blocks	2021	_Gamemaker
GUN GODZ	2019	_Gamemaker
长安夜明	2021	_Gamemaker
RITE	2020	_Gamemaker
Viktor, a Steampunk Adventure	2017	_Gamemaker
Everybody Wham Wham	2021	_Gamemaker
The Corruption Within	2021	_Gamemaker
WAVESHAPER	2017	_Gamemaker
Planes, Bullets and Vodka	2016	_Gamemaker
Razortron 2000	2016	_Gamemaker
Fae Tactics	2020	_Gamemaker
Squishy the Suicidal Pig	2014	_Gamemaker
SmartyTale 2D	2019	_Gamemaker
Syntherapy	2020	_Gamemaker
Kiki & Ana - The Child	2021	_Gamemaker
Magic of Autumn	2020	_Gamemaker
BigChick	2021	_Gamemaker
Super Glitter Rush	2021	_Gamemaker
Azure	2020	_Gamemaker
Estigma [Steam Edition]	2020	_Gamemaker
I dream of you and ice cream	2020	_Gamemaker
FIREWORK	2018	_Gamemaker
Applewood	2019	_Gamemaker
10 Second Ninja	2014	_Gamemaker
Spooky Station	2019	_Gamemaker
Dumpy & Bumpy	2021	_Gamemaker
PyroMind	2019	_Gamemaker
RetroMania Wrestling	2021	_Gamemaker
Tower Fortress	2017	_Gamemaker
Psebay	2017	_Gamemaker
Deranged Rabbits	2016	_Gamemaker
Overcrowd: A Commute 'Em Up	2020	_Gamemaker
Wonder Wickets	2018	_Gamemaker
Rogue Stache	2019	_Gamemaker
Crawlco Block Knockers	2019	_Gamemaker
Prime Mover	2018	_Gamemaker
Wequer	2019	_Gamemaker
Super Skelemania	2017	_Gamemaker
Sword of the Necromancer - Prologue	2020	_Gamemaker
Zeroptian Invasion	2018	_Gamemaker
Soko Loco Deluxe	2019	_Gamemaker
Blackout Z: Slaughterhouse Edition	2017	_Gamemaker
Power of Ten	2021	_Gamemaker
Misadventures of Laura Silver	2019	_Gamemaker
Into the Fray	2018	_Gamemaker
Riptale	2017	_Gamemaker
Cursed Castilla (Maldita Castilla EX)	2016	_Gamemaker
Trip to Vinelands	2016	_Gamemaker
Existensis	2021	_Gamemaker
Wings Of Bluestar	2020	_Gamemaker
Defenders of Ekron	2017	_Gamemaker
Upaon: A Snake's Journey	2021	_Gamemaker
Cubrick	2017	_Gamemaker
Brother Brother	2019	_Gamemaker
Colour Box	2018	_Gamemaker
Void Invaders	2015	_Gamemaker
Rec Center Tycoon	2019	_Gamemaker
