game_name	relise_year	func_name	ext_list	script_name	com1	com2
- R E F L E C T E D -	2021	_Godot				
007 Goldeneye Reloaded PS3	2010	_QuickBMS		\data\scripts\007_goldeneye_ps3.bms		
007 Quantum of Solace(PS3, Xbox 360)	2008	_QuickBMS	FF Files (*.ff)|	\data\scripts\007_quantum_of_solace.bms		
1 vs 100	Page not found!	_QuickBMS	BIN File (*.bin)|	\data\scripts\bank.bin.bms		
10 min Space Strategy	2011	_QuickBMS	hgpk file (*.hgpk)|	\data\scripts\10minspacestrategy.bms		
1000 days to escape	2019	_Godot				
102 Dalmatians	2000	_QuickBMS		\data\scripts\102_dalmatians.bms		
10mg: HANDMADEDEATHLABYRINTH issue 0	2020	_Godot				
10mg: SNAAAK	2020	_Construct				
10tons Ltd. Games	#Note: move to engine menu	_QuickBMS	paq file (*.paq)|	\data\scripts\10tons.bms		
15 Days	2009	_QuickBMS		\data\scripts\15days.bms		
171 PreAlpha		_Unreal4	0x5CB85BE0FE74FCEDFEA4FB89D089828C209533AC23CC23AF00D2B0E2BA7EDDA3			
18 Wheeler: American Pro Trucker (PS2)	2000	_QuickBMS	(MUSIC.STR -r VOICES.STR)|	\data\scripts\18_wheeler.bms		
18 Wheels of Steel: Across America		_ZIP				
18 Wheels of Steel: Convoy		_ZIP				
18 Wheels of Steel: Haulin		_ZIP				
18 Wheels of Steel: Pedal to the Metal		_ZIP				
187 Ride Or Die	2005	_QuickBMS	mfd file (*.mfd)|	\data\scripts\187_ride_or_die.bms		
25 to life	2006	_QuickBMS		\data\scripts\25_to_life.bms		
25 to Life (Xbox)	2006	_QuickBMS	HOG File (*.hog)|	\data\scripts\25_to_life_xbox.bms		
2GIS		_ZIP				
2Island Tribe 2	Page not found!	_QuickBMS	bfg file (*.bfg)|	\data\scripts\bigfishgames81.bms		
3 Ninjas Kick Back (Sega CD)	Page not found!	_QuickBMS		\data\scripts\sega_audio.bms		
3, 2, 1, SURVIVE !	2018	_Godot				
