game_name	relise_year	func_name
Doki Doki Literature Club	2017	_RenPy
Our Life: Beginnings & Always	2020	_RenPy
Tiny Bunny	2021	_RenPy
Everlasting Summer	2014	_RenPy
Milk inside a bag of milk inside a bag of milk	2020	_RenPy
Being a DIK	2020	_RenPy
Sakuya Izayoi Gives You Advice And Dabs	2020	_RenPy
Cinderella Phenomenon	2017	_RenPy
Acting Lessons	2019	_RenPy
fault - milestone two side: above	2015	_RenPy
枝江往事	2021	_RenPy
Tiny Bunny: Prologue	2020	_RenPy
Angels with Scaly Wings	2017	_RenPy
Long Live The Queen	2013	_RenPy
Roman's Christmas / 罗曼圣诞探案集	2020	_RenPy
one night, hot springs	2018	_RenPy
Her New Memory	2020	_RenPy
亿万恋人 Billionaire Lovers	2021	_RenPy
Mhakna Gramura and Fairy Bell	2018	_RenPy
Kindred Spirits on the Roof	2016	_RenPy
CBT With Yuuka Kazami	2020	_RenPy
Scarlet Hollow	2021	_RenPy
Highway Blossoms	2016	_RenPy
Friendship with Benefits	2020	_RenPy
BAD END THEATER	2021	_RenPy
Scarlet Hollow — Episode 1	2020	_RenPy
A Summer's End - Hong Kong 1986	2020	_RenPy
Durka Simulator	2021	_RenPy
Flowers Blooming at the End of Summer	2021	_RenPy
Love at First Sight	2015	_RenPy
ACE Academy	2016	_RenPy
The Expression Amrilato	2019	_RenPy
Coming Out on Top	2017	_RenPy
Heart of the Woods	2019	_RenPy
Blackberry Honey	2017	_RenPy
雨的恋记	2019	_RenPy
MetaWare High School (Demo)	2020	_RenPy
Arcade Spirits	2019	_RenPy
College Kings	2021	_RenPy
Wolf Tails	2018	_RenPy
Purrfect Apawcalypse: Love at Furst Bite	2021	_RenPy
Fatal Twelve	2018	_RenPy
fault - milestone one	2014	_RenPy
Pizza Game	2019	_RenPy
Winds of Change	2019	_RenPy
Bai Qu: Hundreds of Melodies	2017	_RenPy
Full Service	2020	_RenPy
风信楼	2021	_RenPy
Analogue: A Hate Story		_RenPy
Sunrider: Mask of Arcadius	2014	_RenPy
Nekojishi	2017	_RenPy
City of Broken Dreamers: Book One	2020	_RenPy
pact with a witch	2019	_RenPy
Love Ribbon	2017	_RenPy
Love Sucks: Night One	2021	_RenPy
Save Me, Sakuya-san!	2021	_RenPy
Novena Diabolos	2020	_RenPy
A Kiss For The Petals - Remembering How We Met	2015	_RenPy
Lake of Voices	2018	_RenPy
Hiveswap Friendsim	2018	_RenPy
Snow Daze	2018	_RenPy
Your Dry Delight	2018	_RenPy
Crimson Gray	2017	_RenPy
Disturbed	2016	_RenPy
My Catgirl Maid Thinks She Runs the Place	2021	_RenPy
鶴鄉戀旅	2020	_RenPy
Juniper's Knot	2017	_RenPy
The Herbalist	2016	_RenPy
Shigatari	2017	_RenPy
The Adventures of Fei Duanmu 端木斐异闻录	2017	_RenPy
Secret Summer (version 0.10)	2021	_RenPy
Stay! Stay! Democratic People's Republic of Korea!	2017	_RenPy
First Snow	2020	_RenPy
SC2VN - The eSports Visual Novel	2015	_RenPy
Palinurus	2016	_RenPy
Without A Voice	2020	_RenPy
//TODO: today	2021	_RenPy
Sweetest Monster	2017	_RenPy
Sakura Dungeon	2016	_RenPy
A YEAR OF SPRINGS	2021	_RenPy
Sisterly Lust	2020	_RenPy
Chasing Tails -A Promise in the Snow-	2021	_RenPy
Carpe Diem	2015	_RenPy
DoraKone	2019	_RenPy
Depraved Awakening	2019	_RenPy
Royal Alchemist	2020	_RenPy
Purrfect Apawcalypse: Patches' Infurno	2021	_RenPy
Kitten adventures in city park	2017	_RenPy
Summer Memory of Bell	2018	_RenPy
Purrfect Apawcalypse: Purrgatory Furever	2021	_RenPy
LuGame: Lunchtime Games Club!	2019	_RenPy
Kid,napper: Gosh, I'm Kidnapped by a Pupil	2018	_RenPy
Pandemic Love	2021	_RenPy
Trick and Treat - Visual Novel	2016	_RenPy
Pesterquest	2019	_RenPy
The Fairy's Song	2020	_RenPy
The Leopard Catgirl in Miaoli	2019	_RenPy
Ladykiller in a Bind	2017	_RenPy
Love Thyself - A Horatio Story	2019	_RenPy
Sounds of Her Love	2017	_RenPy
