game_name	relise_year	func_name
OMORI	2020	_RPGMaker
Firework	2021	_RPGMaker
Grimm's Hollow	2019	_RPGMaker
Finding Paradise	2017	_RPGMaker
Eternal Senia	2015	_RPGMaker
To the Moon	2012	_RPGMaker
Tales of the Black Forest	2019	_RPGMaker
第七号列车 - Train No. 7	2021	_RPGMaker
异化之恶〇Abnormal Treatment	2019	_RPGMaker
LISA	2014	_RPGMaker
Impostor Factory	2021	_RPGMaker
Rakuen	2017	_RPGMaker
Hylics	2015	_RPGMaker
The Witch's House MV	2018	_RPGMaker
Hello Charlotte: Childhood's End	2018	_RPGMaker
Trick & Treat	2016	_RPGMaker
King Exit	2017	_RPGMaker
永冻之壳 The Shell of Permafrost	2018	_RPGMaker
Meltys Quest	2017	_RPGMaker
Ann	2021	_RPGMaker
The Test	2020	_RPGMaker
RPG Maker VX Ace	2012	_RPGMaker
Noel the Mortal Fate S1-7	2018	_RPGMaker
旅燕归航 Swallow Homing	2019	_RPGMaker
Ara Fell: Enhanced Edition	2016	_RPGMaker
Hello Charlotte	2016	_RPGMaker
The Test: Hypothesis Rising	2020	_RPGMaker
Angels of Death	2016	_RPGMaker
Confess My Love	2017	_RPGMaker
The Test: Final Revelation	2020	_RPGMaker
逝去的回忆3：四叶草之梦	2019	_RPGMaker
Treasure of Nadia	2021	_RPGMaker
狐の旅路	2020	_RPGMaker
To the Moon Soundtrack	2012	_RPGMaker
MECHANICA: A Ballad of the Rabbit and Mercury	2021	_RPGMaker
The World is Your Weapon	2019	_RPGMaker
WhiteLily 1：丽丽公主	2018	_RPGMaker
Yume Nikki	2018	_RPGMaker
Consummate:Missing World	2017	_RPGMaker
The Confession	2020	_RPGMaker
来自边境 - From Frontier	2020	_RPGMaker
Summer Memories	2020	_RPGMaker
Evil God Korone	2021	_RPGMaker
Material Girl	2017	_RPGMaker
绮罗四时谭	2019	_RPGMaker
The Last Sovereign	2019	_RPGMaker
The Lar	2019	_RPGMaker
Cat in the Box	2020	_RPGMaker
Elise the Devil	2017	_RPGMaker
tomorrow won't come for those without ██████	2020	_RPGMaker
Changed	2018	_RPGMaker
做个好梦	2021	_RPGMaker
Ambrosia	2021	_RPGMaker
RPG Maker MV	2015	_RPGMaker
神社的百合香 ~ Floral Aroma in the Shrine	2018	_RPGMaker
Heroines of Swords & Spells	2020	_RPGMaker
The Horrorscope	2020	_RPGMaker
The Advisor - Episode 1: Royal Pain	2021	_RPGMaker
黑色花与红山羊 / Black Datura & Red Goat	2020	_RPGMaker
Ruins Seeker	2020	_RPGMaker
WhiteLily 2：梦醒少女	2020	_RPGMaker
Survive or Thrive	2020	_RPGMaker
FALL IN LABYRINTH	2021	_RPGMaker
巴哈姆特2-龍之新娘(Bahamut2-dragon's bride)	2021	_RPGMaker
Learn Japanese To Survive - Hiragana Battle	2016	_RPGMaker
月夜下的紅茶杯 ~ Blacktea With Moon	2018	_RPGMaker
Tailor Tales	2019	_RPGMaker
Helen's Mysterious Castle	2016	_RPGMaker
Detective Girl of the Steam City	2019	_RPGMaker
Corinne Cross's Dead & Breakfast	2016	_RPGMaker
RPG Maker XP	2013	_RPGMaker
Fausts Alptraum	2017	_RPGMaker
英雄群侠传II	2019	_RPGMaker
子夜之章:历史的终局～MidNights of Desperado～	2021	_RPGMaker
RED	2017	_RPGMaker
西游记2021	2021	_RPGMaker
Coffin of Ashes	2016	_RPGMaker
The Journey - Episode 1: Whatever This Is	2021	_RPGMaker
A Story Beside	2019	_RPGMaker
月球巫妖/Lunar Lich	2021	_RPGMaker
Dragon Spirits : Prologue	2020	_RPGMaker
WTF is wrong with you?	2021	_RPGMaker
Transparent Black	2017	_RPGMaker
Metal as Phuk	2017	_RPGMaker
LAST EMBRYO -EITHER OF BRAVE TO STORY-	2020	_RPGMaker
HorrorVale	2019	_RPGMaker
巅峰骑士团	2019	_RPGMaker
Mothlight	2017	_RPGMaker
Fallow	2021	_RPGMaker
My Holiday	2018	_RPGMaker
The Deed	2015	_RPGMaker
Feather Of Praying 羽翼的祈愿	2018	_RPGMaker
Zelle	2019	_RPGMaker
雨鸦 - You are my sanctuary	2018	_RPGMaker
Dark Elf	2017	_RPGMaker
The Witches' Tea Party	2017	_RPGMaker
Stray Cat Crossing	2015	_RPGMaker
